tool,old_new_status,classification,how_it_operates,score_range,score_direction,threshold_rule,variant_classification,analysis_note,observed_range,observed_n
LIST-S2,Previous + current,Evolutionary / sequence-context predictor,Uses local identity and taxonomic information to estimate deleteriousness,0 to 1,Higher = more pathogenic,>0.85 deleterious,Deleterious vs tolerated,Clear binary threshold available,NA,NA
AlphaMissense,Newly added,Deep-learning missense pathogenicity predictor,"Uses protein language modelling, structural context and ClinVar-calibrated pathogenicity scores",0 to 1,Higher = more pathogenic,<0.34 likely benign; 0.34-0.564 uncertain; >0.564 likely pathogenic,Likely benign / uncertain / likely pathogenic,Best analysed as three-class before binary conversion,0.0367 to 0.9992,757
EVE,Newly added,Unsupervised evolutionary model,Learns evolutionary constraints from protein sequence families,Usually 0 to 1 depending on exported score,Use exported score/class definition,Prefer EVE_CLASS_new,Use supplied EVE class,Avoid inventing a numeric cutoff if class is available,0.0454 to 0.6543,577
popEVE,Newly added,Population-adjusted EVE-style predictor,Extends EVE-style variant-effect prediction with population information,Usually 0 to 1 depending on exported score,Prediction-label dependent,Prefer popEVE_pred_new if available,Use supplied prediction,Treat as new-tool analysis,NA,NA
ESM1b,Newly added,Protein language model,Uses a protein sequence language model to estimate whether a substitution is evolutionarily plausible,Score scale depends on implementation,Implementation-specific,Prefer ESM1b_pred_new if available,Use supplied prediction rather than raw score,Check score definition before thresholding,-17.9419 to 1.2046,1034
PrimateAI,Newly added,Deep-learning / primate conservation predictor,Uses primate sequence variation and deep learning to assess missense effects,0 to 1,Higher = more damaging,>0.803 damaging,Damaging vs tolerated,Direct binary threshold available,0.2486 to 0.8923,977
MetaRNN,Newly added,Neural-network meta-predictor,Uses neural-network integration of variant annotations,0 to 1,Higher = more damaging,Prefer MetaRNN_pred_new if available,Damaging vs tolerated,Use prediction label if present,0.0078 to 0.9955,992
DEOGEN2,Newly added,Context-aware deleteriousness predictor,Combines molecular features and gene/protein context,0 to 1,Higher = more deleterious,>0.5 deleterious,Deleterious vs tolerated,Direct binary threshold available,0.005 to 0.8531,767
MVP,Newly added,Deep-learning pathogenicity predictor,Trained using large-scale variant/pathogenicity features,0 to 1,Higher = more pathogenic,"Commonly >0.7 or >0.75, but context dependent",Use cautiously or as continuous unless prespecified,Avoid unvalidated binary classification,NA,NA
MPC,Newly added,Missense constraint score,Uses regional missense constraint to prioritise deleterious missense variants,Continuous positive score,Higher = more constrained/pathogenic-like,No universal binary pathogenicity cutoff,Continuous constraint score,Not a direct pathogenicity classifier,NA,NA
SpliceAI,Previous + current expanded,Deep-learning splicing predictor,Predicts splice donor/acceptor gain or loss using delta scores,0 to 1,Higher = greater splice-altering probability,>=0.2 high recall; >=0.5 recommended; >=0.8 high precision,Splice-altering vs not splice-altering,Analyse separately from missense predictors,NA,NA
ada_score,Previous + current,Splicing ensemble score from dbscSNV,Predicts splice-site altering SNVs,0 to 1,Higher = more splice-altering,>=0.6 commonly used,Splice-altering vs neutral,Analyse separately from missense predictors,0 to 1,93
rf_score,Previous + current,Random-forest splicing score from dbscSNV,Predicts splice-site altering SNVs,0 to 1,Higher = more splice-altering,>=0.6 commonly used,Splice-altering vs neutral,Analyse separately from missense predictors,0 to 1,93
GERP++,Previous + current,Conservation score,Measures evolutionary constraint/rejected substitutions,Continuous score,Higher = more conserved/constrained,No direct pathogenicity threshold,Conservation evidence,Not a standalone pathogenicity predictor,-10.5 to 5.24,1042
phyloP100way,Previous + current,Conservation score,Measures evolutionary conservation or acceleration,Continuous score; can be negative or positive,Higher positive = more conserved,No universal pathogenicity cutoff,Conservation evidence,Not a standalone pathogenicity predictor,-8.507 to 9.338,1042
phastCons17way,Previous + current,Conservation score,Probability that a base lies in a conserved element,0 to 1,Higher = more conserved,No universal pathogenicity cutoff,Conservation evidence,Not a standalone pathogenicity predictor,0 to 1,1042
SiPhy_29way,Previous; current direct pair uncertain,Conservation score,Detects constrained elements from multi-species alignments,Continuous score,Higher = more constrained,No universal pathogenicity cutoff,Conservation evidence,Not a standalone pathogenicity predictor,NA,NA
Eigen-PC,Previous + current,Integrated functional/conservation score,Combines functional genomic and conservation annotations,Phred-like / continuous depending on column,Higher = more deleterious,No universal clinical cutoff,Continuous deleteriousness score,Use as supporting evidence only,NA,NA
fitCons / integrated_fitCons,Previous; current direct pair uncertain,Functional conservation score,Uses functional genomic marks to estimate fitness consequences,0 to 1,Higher = more functionally constrained,No universal pathogenicity cutoff,Functional constraint evidence,Not a direct pathogenicity classifier,NA,NA
