tool,old_new_status,classification,how_it_operates,score_direction,threshold_rule,variant_classification
LIST-S2,Previous + current,Evolutionary / sequence-context predictor,Uses local identity and taxonomic information to estimate deleteriousness,Higher = more pathogenic,>0.85 deleterious,Deleterious vs tolerated
CONDEL,Previous; current direct pair uncertain,Consensus predictor,Combines outputs from multiple missense prediction tools,Higher = more damaging,No single universal threshold unless supplied prediction exists,Continuous or prediction-label based
MutPred / MutPred2,Previous + current updated,Machine-learning functional-impact predictor,Predicts pathogenicity and possible molecular mechanisms affected by amino-acid substitution,Higher = more damaging,>0.5 often damaging; >0.75 higher confidence,Damaging vs high-confidence damaging
AlphaMissense,Newly added,Deep-learning missense pathogenicity predictor,"Uses protein language modelling, structural context and ClinVar-calibrated pathogenicity scores",Higher = more pathogenic,<0.34 likely benign; 0.34-0.564 uncertain; >0.564 likely pathogenic,Likely benign / uncertain / likely pathogenic
EVE,Newly added,Unsupervised evolutionary model,Learns evolutionary constraints from protein sequence families to estimate variant effect,Use exported class/score definition,Prefer EVE_CLASS_new,Use EVE class if available
popEVE,Newly added,Population-adjusted EVE-style predictor,Extends EVE-style evolutionary prediction with population-level information,Prediction-label dependent,Prefer popEVE_pred_new if available,Use supplied prediction
ESM1b,Newly added,Protein language model,Uses a large protein sequence language model to estimate whether a substitution is evolutionarily plausible,Implementation-specific,Prefer ESM1b_pred_new if available,Use supplied prediction rather than raw threshold
PrimateAI,Newly added,Deep-learning / primate conservation predictor,Uses primate sequence variation and deep learning to assess missense effects,Higher = more damaging,>0.803 damaging,Damaging vs tolerated
MetaRNN,Newly added,Neural-network meta-predictor,Uses neural-network integration of variant annotations,Higher = more damaging,Prefer MetaRNN_pred_new if available,Damaging vs tolerated
DEOGEN2,Newly added,Context-aware deleteriousness predictor,Combines molecular features and gene/protein context,Higher = more deleterious,>0.5 deleterious,Deleterious vs tolerated
MVP,Newly added,Deep-learning pathogenicity predictor,Trained using large-scale variant/pathogenicity features,Higher = more pathogenic,"Commonly >0.7 or >0.75, but context dependent",Use cautiously or as continuous unless prespecified
MPC,Newly added,Missense constraint score,Uses regional missense constraint to prioritise deleterious missense variants,Higher = more constrained/pathogenic-like,No universal binary pathogenicity cutoff,Continuous constraint score
VARITY,Newly added,Ensemble missense predictor,"Combines evolutionary, structural and machine-learning features",Higher = more pathogenic,No single universal threshold unless prediction label exists,Continuous or calibrated
gMVP,Newly added,Genome-wide machine-learning predictor,Predicts missense pathogenicity across the genome,Higher = more pathogenic,No universal thesis-safe cutoff unless supplied prediction exists,Continuous or calibrated
MutFormer,Newly added,Transformer-based predictor,Uses transformer modelling of protein/variant context,Higher = more damaging depending on score,No universal cutoff for thesis use,Continuous/new-tool analysis
PHACTboost,Newly added,Machine-learning pathogenicity predictor,Boosting-based pathogenicity predictor,Higher = more pathogenic,Use documented prediction if available; otherwise continuous,Continuous or calibrated
MisFit-D,Newly added,Missense fitness/deleteriousness score,Estimates deleteriousness or fitness consequences of missense variation,Higher = more damaging depending on score,No universal clinical cutoff,Continuous
MisFit-S,Newly added,Missense fitness/saturation-related score,Estimates missense intolerance or saturation-related fitness effects,Higher = more damaging depending on score,No universal clinical cutoff,Continuous
SpliceAI,Previous + current expanded,Deep-learning splicing predictor,Predicts splice donor/acceptor gain or loss using delta scores,Higher = greater splice-altering probability,>=0.2 high recall; >=0.5 recommended; >=0.8 high precision,Splice-altering vs not splice-altering
ada_score,Previous + current,Splicing ensemble score from dbscSNV,Predicts splice-site altering SNVs,Higher = more splice-altering,>=0.6 commonly used,Splice-altering vs neutral
rf_score,Previous + current,Random-forest splicing score from dbscSNV,Predicts splice-site altering SNVs,Higher = more splice-altering,>=0.6 commonly used,Splice-altering vs neutral
MaxEntScan,Previous + current expanded,Splice-site strength model,Measures reference and alternate splice-site motif strength,Depends on score/difference,No universal pathogenicity cutoff,Splice-site strength change
GERP++,Previous + current,Conservation score,Measures evolutionary constraint/rejected substitutions,Higher = more conserved/constrained,No direct pathogenicity threshold,Conservation evidence
phyloP100way,Previous + current,Conservation score,Measures evolutionary conservation or acceleration across species,Higher positive = more conserved,No universal pathogenicity cutoff,Conservation evidence
phyloP30way,Previous; current direct pair uncertain,Conservation score,Measures mammalian evolutionary conservation,Higher positive = more conserved,No universal pathogenicity cutoff,Conservation evidence
phastCons17way,Previous + current,Conservation score,Probability that a base lies in a conserved element,Higher = more conserved,No universal pathogenicity cutoff,Conservation evidence
phastCons30way,Previous; current direct pair uncertain,Conservation score,Probability that a base lies in a mammalian conserved element,Higher = more conserved,No universal pathogenicity cutoff,Conservation evidence
SiPhy_29way,Previous; current direct pair uncertain,Conservation score,Detects constrained elements from multi-species alignments,Higher = more constrained,No universal pathogenicity cutoff,Conservation evidence
Eigen-PC,Previous + current,Integrated functional/conservation score,Combines functional genomic and conservation annotations using unsupervised modelling,Higher = more deleterious,No universal clinical cutoff,Continuous deleteriousness score
fitCons / integrated_fitCons,Previous; current direct pair uncertain,Functional conservation score,Uses functional genomic marks to estimate fitness consequences,Higher = more functionally constrained,No universal pathogenicity cutoff,Functional constraint evidence
BLOSUM62,Current annotation,Amino-acid substitution matrix,Scores biochemical/evolutionary plausibility of amino-acid substitution,Lower/more negative = less tolerated,No pathogenicity cutoff,Descriptive substitution score
